1,3,13
1,4,20
1,12,17
1,56,50
2,3,9
2,4,21
2,12,13
2,56,57
3,3,13
3,4,23
3,12,13
3,56,51
4,3,15
4,4,17
4,12,26
4,56,42
5,3,12
5,4,23
5,12,14
5,56,51
6,3,13
6,4,24
6,12,13
6,56,50
7,3,4
7,4,15
7,12,4
7,56,77
13,3,15
13,4,23
13,12,24
13,56,38
14,3,15
14,4,21
14,12,23
14,56,41
15,3,10
15,4,21
15,12,11
15,56,58
16,3,13
16,4,24
16,12,9
16,56,54
18,3,14
18,4,25
18,12,23
18,56,38
19,3,12
19,4,23
19,12,16
19,56,49
20,3,15
20,4,24
20,12,18
20,56,43
21,3,14
21,4,26
21,12,14
21,56,46
22,3,10
22,4,25
22,12,10
22,56,55
25,3,10
25,4,23
25,12,8
25,56,59
27,3,6
27,4,16
27,12,5
27,56,73
28,3,7
28,4,19
28,12,8
28,56,66
30,3,10
30,4,22
30,12,12
30,56,56
31,3,10
31,4,23
31,12,10
31,56,57
32,3,11
32,4,26
32,12,9
32,56,54
33,3,7
33,4,17
33,12,8
33,56,68
34,3,8
34,4,21
34,12,8
34,56,63
35,3,8
35,4,18
35,12,9
35,56,65
37,3,12
37,4,24
37,12,13
37,56,51
38,3,12
38,4,24
38,12,9
38,56,55
39,3,16
39,4,25
39,12,16
39,56,43
40,3,13
40,4,24
40,12,14
40,56,49
46,3,14
46,4,25
46,12,20
46,56,41
47,3,16
47,4,24
47,12,19
47,56,41
48,3,14
48,4,26
48,12,16
48,56,44
49,3,19
49,4,27
49,12,21
49,56,33
50,3,11
50,4,24
50,12,14
50,56,51
51,3,12
51,4,22
51,12,13
51,56,53
52,3,11
52,4,22
52,12,13
52,56,54
53,3,15
53,4,25
53,12,14
53,56,46
54,3,7
54,4,18
54,12,8
54,56,67
55,3,5
55,4,15
55,12,5
55,56,75
80,3,14
80,4,25
80,12,18
80,56,43
81,3,16
81,4,28
81,12,19
81,56,37
82,3,18
82,4,27
82,12,21
82,56,34
84,3,14
84,4,27
84,12,16
84,56,43
90,3,9
90,4,20
90,12,14
90,56,57
91,3,10
91,4,19
91,12,13
91,56,58
92,3,8
92,4,16
92,12,10
92,56,66
95,3,12
95,4,20
95,12,16
95,56,52
96,3,10
96,4,20
96,12,14
96,56,56
97,3,9
97,4,20
97,12,12
97,56,59
98,3,13
98,4,16
98,12,21
98,56,50
100,3,5
100,4,16
100,12,6
100,56,73
101,3,8
101,4,19
101,12,7
101,56,66
